name,g,ab,r,hr,rbi,sb,avg,obp,r_score,hr_score,rbi_score,sb_score,avg_score,obp_score,total_score
Miguel Cabrera,150,548,119.88,41.04,136.08,3.24,0.328467153285,0.41975308642,2.11338180775,2.25486576357,2.67719120289,-0.630469534682,2.16621545379,2.43901067747,11.0201953708
Ryan Braun,157,619,104.21656051,25.7961783439,106.280254777,14.4458598726,0.303715670436,0.365497076023,1.33474049071,0.786963226629,1.38085102825,0.258366955421,1.26552014908,0.814761655125,5.84120350523
Carlos Gonzalez,145,587,124.013793103,37.9862068966,130.717241379,29.0482758621,0.335604770017,0.375786163522,2.31887576125,1.96080101098,2.44390197861,1.41661454397,2.42595010957,1.12278357175,11.6889269761
Josh Hamilton,133,518,115.714285714,38.977443609,121.804511278,9.74436090226,0.359073359073,0.410526315789,1.90630102834,2.05625206766,2.05618288875,-0.114550776064,3.27996148741,2.16279108325,11.3469377794
Joey Votto,150,547,114.48,39.96,122.04,17.28,0.323583180987,0.424382716049,1.84494376037,2.15086725351,2.06642705321,0.483167835668,1.98848990322,2.57760677668,11.1115025827
Jose Bautista,161,569,109.677018634,54.3354037267,124.770186335,9.05590062112,0.260105448155,0.377745241581,1.60618395674,3.53514555826,2.18519485489,-0.169158688962,-0.321436183458,1.18143201639,8.01736151387
Albert Pujols,159,587,117.169811321,42.7924528302,120.226415094,14.2641509434,0.311754684838,0.414285714286,1.97865629718,2.42361806292,1.98753299033,0.243954002849,1.55805625978,2.27533528412,10.4671528972
Troy Tulowitzki,122,470,118.180327869,35.8524590164,126.147540984,14.606557377,0.314893617021,0.380681818182,2.02888983218,1.75533193655,2.24511215122,0.27111330487,1.67228058712,1.26934359776,9.24207140969
Matt Kemp,162,602,82.0,28.0,89.0,19.0,0.249169435216,0.309880239521,0.230338616168,0.999180049476,0.62913022232,0.619596345426,-0.719392765147,-0.850226088262,0.90862637998
David Ortiz,145,518,96.0827586207,35.7517241379,113.95862069,0.0,0.27027027027,0.369636963696,0.930403102422,1.74563167981,1.71487315272,-0.887462773994,0.0484571117748,0.938696468178,4.49059874092
Robinson Cano,160,626,104.2875,29.3625,110.3625,3.0375,0.319488817891,0.380747126437,1.33826694595,1.13038187351,1.55843571717,-0.646531612139,1.8394978756,1.27129871514,6.49134951524
Adrian Beltre,154,589,88.3636363636,29.4545454545,107.298701299,2.1038961039,0.320882852292,0.365054602184,0.546679749436,1.13924538289,1.42515520374,-0.720584047168,1.89022615911,0.801515423129,5.08223787114
Prince Fielder,161,578,94.5838509317,32.198757764,83.5155279503,1.00621118012,0.26124567474,0.40056022409,0.85589127775,1.40349907871,0.39054625452,-0.80765120899,-0.27994385193,1.86443861351,3.42678016357
Matt Holliday,158,596,97.4050632911,28.7088607595,105.607594937,9.22784810127,0.312080536913,0.38962962963,0.996135858676,1.06743973728,1.35158916818,-0.155520003803,1.5699138699,1.5372120586,6.36677068883
Andrew McCutchen,154,570,98.8831168831,16.8311688312,58.9090909091,34.7142857143,0.285964912281,0.365030674847,1.06961101055,-0.0763216178427,-0.6798760814,1.86603621863,0.619578060543,0.800799116231,3.59982670672
Adrian Gonzalez,160,591,88.0875,31.3875,102.2625,0.0,0.297800338409,0.392753623188,0.532952803832,1.32537907988,1.20607178466,-0.887462773994,1.05026388283,1.63073429598,4.85793907319
Paul Konerko,149,548,96.7651006711,42.4026845638,120.684563758,0.0,0.31204379562,0.393026941363,0.964322837175,2.38608536016,2.00746324526,-0.887462773994,1.56857687083,1.63891655587,7.6779020953
Evan Longoria,151,574,102.993377483,23.6026490066,111.57615894,16.0927152318,0.294425087108,0.372163388805,1.27393514569,0.575737501758,1.61123196865,0.388993712653,0.927440009284,1.01432944381,5.79166778185
Dustin Pedroia,75,302,114.48,25.92,88.56,19.44,0.288079470199,0.36676217765,1.84494376037,0.798886622688,0.609989465492,0.654496661875,0.696525870091,0.852634695658,5.45747707618
Buster Posey,108,406,87.0,27.0,100.5,0.0,0.305418719212,0.356659142212,0.478892363736,0.902885132751,1.12940000305,-0.887462773994,1.32749332642,0.550182574438,3.5013906264
Curtis Granderson,136,466,90.5294117647,28.5882352941,79.8088235294,14.2941176471,0.24678111588,0.324427480916,0.654342067902,1.05582411814,0.229298236445,0.246330928851,-0.806302629309,-0.414728851345,0.964763870681
David Wright,157,587,89.7707006369,29.923566879,106.280254777,19.6050955414,0.282793867121,0.353731343284,0.616625969076,1.1844097619,1.38085102825,0.667591858783,0.504185156454,0.462533768109,4.81619754258
Justin Upton,133,495,88.9172932331,20.7067669173,84.045112782,21.9248120301,0.272727272727,0.356140350877,0.57420244739,0.29687877712,0.413584105615,0.851589221347,0.137866323749,0.534651644086,2.80877251931
Jose Reyes,133,563,101.097744361,13.3984962406,65.7744360902,36.5413533835,0.282415630551,0.320534223706,1.17970180237,-0.406870539096,-0.381221757193,2.01095721824,0.490421298141,-0.531280348048,2.36170767441
Alex Rodriguez,137,522,87.503649635,35.4744525547,147.810218978,4.7299270073,0.270114942529,0.341176470588,0.503929164586,1.7189318358,3.18747590516,-0.51229016186,0.0428048052707,0.0866815896666,5.02753313862
Mike Stanton,100,359,72.9,35.64,95.58,8.1,0.259052924791,0.325757575758,-0.222029204407,1.73487321325,0.915371540335,-0.244979675715,-0.359737034258,-0.374910124715,1.4485887145
Ian Kinsler,103,391,114.815533981,14.1553398058,70.7766990291,23.5922330097,0.286445012788,0.382096069869,1.86162340603,-0.333990351009,-0.163614715143,0.983847220993,0.6370487016,1.31168170746,4.29659596994
Ryan Zimmerman,142,525,96.9718309859,28.5211267606,96.9718309859,4.56338028169,0.306666666667,0.388059701493,0.97459955607,1.04936190749,0.97591858226,-0.525500465104,1.37290557182,1.49021350077,5.33749865331
Victor Martinez,127,493,81.6377952756,25.5118110236,100.771653543,1.27559055118,0.302231237323,0.351301115242,0.21233314784,0.759580099199,1.14121739944,-0.78628433332,1.21150229715,0.389780620719,2.92812923103
Corey Hart,145,558,101.668965517,34.6344827586,113.95862069,7.82068965517,0.283154121864,0.340390879479,1.20809763419,1.63804701423,1.71487315272,-0.267134265311,0.51729466417,0.0631635391853,4.87434173919
Shin-Soo Choo,144,550,91.125,24.75,101.25,24.75,0.3,0.40092879257,0.68394920548,0.686221570119,1.16202629309,1.0756800263,1.13030857666,1.87547235869,6.61365803035
Hanley Ramirez,142,543,104.957746479,23.9577464789,86.7042253521,36.5070422535,0.300184162063,0.37802907916,1.37158540078,0.609931583277,0.529260076259,2.00823569712,1.13701015111,1.18992919313,6.84595210168
Carl Crawford,154,600,115.714285714,19.987012987,94.6753246753,49.4415584416,0.306666666667,0.35626911315,1.90630102834,0.227570132341,0.876016607613,3.03418730641,1.37290557182,0.538506369008,7.95548701553
Joe Mauer,137,510,104.058394161,10.6423357664,88.6861313869,1.18248175182,0.327450980392,0.402397260274,1.32687792296,-0.672274782437,0.615476397774,-0.79366962096,2.12923738025,1.91943352015,4.52508081773
Nelson Cruz,108,399,90.0,33.0,117.0,25.5,0.318295739348,0.373873873874,0.628024612277,1.4806546331,1.84717838409,1.13516920207,1.79608228518,1.06553582041,7.95264493712
Mark Teixeira,158,601,115.860759494,33.835443038,110.734177215,0.0,0.256239600666,0.365168539326,1.9135823497,1.56110355087,1.57460431534,-0.887462773994,-0.462112631146,0.804926331704,4.50464114247
Aramis Ramirez,124,465,79.6935483871,32.6612903226,108.435483871,0.0,0.240860215054,0.293885601578,0.115683177773,1.44803861292,1.47460720097,-0.887462773994,-1.02176154166,-1.32905368454,-0.199949008537
Kevin Youkilis,102,362,122.294117647,30.1764705882,98.4705882353,6.35294117647,0.306629834254,0.411494252874,2.2333894054,1.20876310352,1.04111710056,-0.383554461618,1.37156525693,2.19176798094,7.66304838574
Josh Willingham,114,370,76.7368421053,22.7368421053,79.5789473684,11.3684210526,0.267567567568,0.388888888889,-0.0312969075886,0.492364698291,0.21929822804,0.0142678902571,-0.0498930213969,1.51503668272,2.15977757033
Coco Crisp,75,290,110.16,17.28,82.08,69.12,0.279310344828,0.341538461538,1.63019332247,-0.0331014578165,0.328098319482,4.59505966465,0.377421350314,0.0975184249353,6.99518962404
