name,g,ab,r,hr,rbi,sb,avg,obp,r_score,r_trend,hr_score,hr_trend,rbi_score,rbi_trend,sb_score,sb_trend,avg_score,avg_trend,obp_score,obp_trend,total_score,total_trend
Miguel Cabrera,472,1742,113.605932203,38.4406779661,126.991525424,3.08898305085,0.334098737084,0.420068863748,2.11880290851,-0.201018947731,2.2089249903,0.053066189197,2.51914658758,0.0257233724909,-0.694682515935,-0.000992776091106,2.87041434777,-0.075245002754,3.03007195293,-0.322392126572,12.0526782712,-0.52085929146
Mike Trout,179,682,134.849162011,31.6759776536,89.5977653631,47.9664804469,0.306451612903,0.378552971576,3.29596922223,0,1.48990996027,0,0.800648180448,0,3.05714687854,0,1.70727097653,0,1.57169995932,0,11.9226451773,0
Ryan Braun,461,1780,111.748373102,34.7895878525,114.559652928,27.0585683297,0.31797752809,0.384422110553,2.01586865512,0.290005819406,1.8208533025,0.734040192039,1.94781722551,0.222445813064,1.30921252814,0.650253377408,2.19217825872,0.212421801213,1.77787131834,0.465007104407,11.0638012883,2.57417410754
Carlos Gonzalez,407,1586,116.226044226,32.6388206388,117.022113022,26.2702702703,0.312736443884,0.370517928287,2.26399305329,-0.378156216509,1.59224983431,-0.628010656866,2.06098406783,-0.633009132326,1.24330957003,-0.229648966537,1.97168037575,-0.628318791227,1.28944462317,0.0152299972846,10.4216615244,-2.48191376618
Josh Hamilton,402,1567,112.029850746,40.2985074627,129.76119403,9.26865671642,0.313337587747,0.369839449541,2.0314663775,-0.0181960182953,2.4063923236,0.281838019802,2.64643175709,0.341239676811,-0.178052074132,-0.114209743048,1.99697112552,-1.34910995406,1.26561099346,-0.763072524341,10.168820503,-1.62151054313
Joey Votto,422,1520,102.113744076,30.7109004739,104.417061611,11.1327014218,0.321052631579,0.433767643865,1.48197805386,-0.676214863613,1.38733261533,-0.999534407745,1.48169595302,-0.859372342076,-0.0222150037953,-0.427588381243,2.32155107218,0.130491150299,3.51128327284,0.793716917202,10.1616259634,-2.03850192718
Jose Bautista,402,1414,112.029850746,49.9701492537,117.671641791,9.26865671642,0.270862800566,0.399539435809,2.0314663775,0.130631968107,3.4343840293,-0.435558728452,2.09083434641,-0.248567183317,-0.178052074132,-0.0414539636548,0.210012495315,-0.247019491565,2.30891335112,-0.204385385695,9.89755852551,-1.04635278458
Albert Pujols,460,1773,107.413043478,38.3869565217,113.4,10.9173913043,0.298364354202,0.375061850569,1.7756319285,-0.657550612436,2.20321497741,-0.620417154258,1.8945232613,-0.231689921349,-0.0402152683925,-0.263480654058,1.36703156181,-0.483193716124,1.44906371481,-0.973679859255,8.64925017544,-3.23001191748
Troy Tulowitzki,312,1188,105.403846154,33.75,117.865384615,11.4230769231,0.304713804714,0.373502994012,1.66429483761,-1.21493051477,1.71035627286,-0.146388512687,2.09973815107,-0.305873311489,0.00206084500051,-0.408964276911,1.63415957215,-0.443253943161,1.39430413659,-0.141363979768,8.50491381527,-2.66077453878
Matt Kemp,429,1607,102.335664336,33.986013986,107.244755245,25.6783216783,0.29060360921,0.358250276855,1.49427548022,0.828863391836,1.73544202617,0.258250423639,1.61164776843,0.345084837723,1.19382173635,-0.238837848858,1.04052891963,0.938613536982,0.858506051459,0.945141584904,7.93422198226,3.07711592623
