name,g,ab,r,hr,rbi,sb,avg,obp,r_score,r_trend,hr_score,hr_trend,rbi_score,rbi_trend,sb_score,sb_trend,avg_score,avg_trend,obp_score,obp_trend,total_score,total_trend
Miguel Cabrera,472,1742,113.606,38.441,126.992,3.089,0.334,0.420,2.119,-0.201,2.209,0.053,2.519,0.026,-0.695,-0.001,2.870,-0.075,3.030,-0.322,12.053,-0.521
Mike Trout,179,682,134.849,31.676,89.598,47.966,0.306,0.379,3.296,0.000,1.490,0.000,0.801,0.000,3.057,0.000,1.707,0.000,1.572,0.000,11.923,0.000
Ryan Braun,461,1780,111.748,34.790,114.560,27.059,0.318,0.384,2.016,0.290,1.821,0.734,1.948,0.222,1.309,0.650,2.192,0.212,1.778,0.465,11.064,2.574
Carlos Gonzalez,407,1586,116.226,32.639,117.022,26.270,0.313,0.371,2.264,-0.378,1.592,-0.628,2.061,-0.633,1.243,-0.230,1.972,-0.628,1.289,0.015,10.422,-2.482
Josh Hamilton,402,1567,112.030,40.299,129.761,9.269,0.313,0.370,2.031,-0.018,2.406,0.282,2.646,0.341,-0.178,-0.114,1.997,-1.349,1.266,-0.763,10.169,-1.622
Joey Votto,422,1520,102.114,30.711,104.417,11.133,0.321,0.434,1.482,-0.676,1.387,-1.000,1.482,-0.859,-0.022,-0.428,2.322,0.130,3.511,0.794,10.162,-2.039
Jose Bautista,402,1414,112.030,49.970,117.672,9.269,0.271,0.400,2.031,0.131,3.434,-0.436,2.091,-0.249,-0.178,-0.041,0.210,-0.247,2.309,-0.204,9.898,-1.046
Albert Pujols,460,1773,107.413,38.387,113.400,10.917,0.298,0.375,1.776,-0.658,2.203,-0.620,1.895,-0.232,-0.040,-0.263,1.367,-0.483,1.449,-0.974,8.649,-3.230
Troy Tulowitzki,312,1188,105.404,33.750,117.865,11.423,0.305,0.374,1.664,-1.215,1.710,-0.146,2.100,-0.306,0.002,-0.409,1.634,-0.443,1.394,-0.141,8.505,-2.661
Matt Kemp,429,1607,102.336,33.986,107.245,25.678,0.291,0.358,1.494,0.829,1.735,0.258,1.612,0.345,1.194,-0.239,1.041,0.939,0.859,0.945,7.934,3.077
Jacoby Ellsbury,250,1041,111.456,23.328,88.128,38.880,0.297,0.348,2.000,-1.430,0.603,-2.426,0.733,-2.136,2.298,-0.750,1.302,-1.787,0.500,-1.821,7.436,-10.350
David Ortiz,381,1367,99.921,35.717,109.701,0.425,0.296,0.391,1.360,0.580,1.919,0.175,1.725,-0.146,-0.917,-0.033,1.279,0.797,2.025,0.752,7.391,2.125
Robinson Cano,480,1876,105.300,30.375,108.338,4.725,0.311,0.370,1.659,0.082,1.352,0.102,1.662,-0.342,-0.558,-0.033,1.911,-0.183,1.265,0.050,7.290,-0.323
Adrian Beltre,434,1680,97.424,35.834,115.341,1.493,0.314,0.353,1.222,0.297,1.932,0.292,1.984,-0.043,-0.828,-0.075,2.012,-0.071,0.684,-0.001,7.006,0.399
Prince Fielder,485,1728,90.854,33.402,103.880,1.002,0.291,0.409,0.858,-0.262,1.673,-0.183,1.457,0.517,-0.869,-0.033,1.061,0.887,2.637,0.237,6.817,1.163
Matt Holliday,439,1641,100.743,28.415,103.326,5.535,0.302,0.385,1.406,0.056,1.143,-0.114,1.432,-0.020,-0.490,-0.234,1.505,-0.322,1.809,-0.074,6.805,-0.708
Andrew McCutchen,469,1735,99.480,24.179,83.245,26.252,0.291,0.376,1.336,0.340,0.693,0.649,0.509,0.869,1.242,-0.588,1.060,0.659,1.493,0.594,6.333,2.522
Adrian Gonzalez,478,1850,91.506,25.757,110.485,1.017,0.312,0.382,0.894,-0.271,0.861,-0.684,1.761,0.151,-0.868,0.048,1.936,-0.008,1.710,-0.647,6.293,-1.410
Paul Konerko,442,1624,82.100,35.186,106.656,0.367,0.304,0.384,0.373,-0.543,1.863,-0.709,1.585,-0.776,-0.922,-0.033,1.586,-0.276,1.776,-0.244,6.260,-2.580
Evan Longoria,358,1330,96.385,31.676,116.749,9.050,0.275,0.365,1.165,-0.410,1.490,0.566,2.048,0.160,-0.196,-0.497,0.392,-0.098,1.103,0.029,6.002,-0.249
Dustin Pedroia,375,1500,101.952,20.736,85.104,23.760,0.297,0.368,1.473,-0.496,0.327,-0.472,0.594,-0.276,1.033,0.111,1.296,0.020,1.209,-0.204,5.933,-1.317
Yoenis Cespedes,129,487,87.907,28.884,102.977,20.093,0.292,0.356,0.695,0.000,1.193,0.000,1.416,0.000,0.727,0.000,1.082,0.000,0.764,0.000,5.876,0.000
Buster Posey,301,1098,82.346,24.757,102.797,2.153,0.317,0.384,0.387,0.000,0.755,0.000,1.407,0.000,-0.773,0.000,2.149,0.000,1.752,0.000,5.676,0.000
Curtis Granderson,452,1645,112.540,38.708,104.655,16.845,0.247,0.337,2.060,0.363,2.237,0.618,1.493,0.583,0.455,-0.197,-0.802,-0.155,0.107,0.017,5.550,1.230
David Wright,415,1557,92.906,24.983,100.323,18.347,0.285,0.365,0.972,0.155,0.779,-0.453,1.294,-0.213,0.581,-0.190,0.785,0.385,1.110,0.635,5.520,0.320
Justin Upton,442,1641,104.457,23.824,82.100,20.891,0.281,0.361,1.612,0.721,0.655,-0.169,0.456,-0.225,0.794,-0.129,0.633,0.143,0.940,0.070,5.090,0.413
Jose Reyes,419,1742,104.391,11.212,59.928,42.143,0.301,0.350,1.608,-0.319,-0.685,-0.151,-0.563,-0.127,2.570,0.130,1.470,0.076,0.571,0.490,4.971,0.099
Alex Rodriguez,358,1358,97.291,28.961,110.413,9.503,0.272,0.351,1.215,0.309,1.201,-0.623,1.757,-1.544,-0.158,0.467,0.277,0.069,0.609,0.271,4.901,-1.051
Mike Stanton,373,1324,86.429,40.391,100.761,6.949,0.270,0.350,0.613,0.685,2.416,0.520,1.314,0.362,-0.372,-0.039,0.190,0.548,0.562,0.616,4.723,2.691
Ian Kinsler,415,1666,116.718,23.422,75.730,25.764,0.263,0.350,2.291,-0.110,0.613,0.205,0.163,0.103,1.201,-0.106,-0.125,-0.478,0.579,-0.746,4.722,-1.132
Ryan Zimmerman,388,1498,96.031,25.887,95.613,5.010,0.292,0.363,1.145,0.219,0.875,-0.101,1.077,0.186,-0.534,0.009,1.116,-0.439,1.040,-0.536,4.718,-0.663
Corey Hart,424,1612,100.104,33.241,94.755,7.259,0.279,0.343,1.371,-0.026,1.656,-0.179,1.038,-0.509,-0.346,-0.126,0.559,-0.195,0.318,-0.006,4.596,-1.042
Shin-Soo Choo,384,1461,86.906,19.406,81.422,23.203,0.284,0.378,0.639,0.056,0.186,-0.439,0.425,-0.647,0.987,-0.141,0.765,-0.308,1.535,-0.334,4.537,-1.812
Hanley Ramirez,391,1485,93.637,22.788,88.251,30.246,0.269,0.346,1.012,-0.558,0.545,-0.028,0.739,0.180,1.576,-0.618,0.147,-0.726,0.411,-0.739,4.430,-2.491
Carl Crawford,315,1223,101.829,16.971,84.857,36.000,0.283,0.324,1.466,-1.634,-0.073,-0.576,0.583,-0.990,2.057,-2.197,0.717,-1.795,-0.338,-1.838,4.412,-9.030
