Name,Team,GP,G,A,Pts,diff,PIM,Hits,BkS,PPG,PPA,SHG,SHA,GW,SOG,Pct
Danny Cleary,DET,75,12,21,33,2,30,90,33,2,1,0,0,0,199,.060
Evgeni Malkin,PIT,75,50,59,109,18,70,29,41,12,22,0,0,9,339,.147
Steven Stamkos,TAM,82,60,37,97,7,66,109,37,12,13,0,0,12,303,.198
Claude Giroux,PHI,77,28,65,93,6,29,70,44,6,32,0,2,5,242,.116
Jason Spezza,OTT,80,34,50,84,11,36,28,23,10,14,0,0,2,232,.147
Ilya Kovalchuk,NJD,77,37,46,83,-9,33,27,18,10,19,3,2,5,310,.119
Phil Kessel,TOR,82,37,45,82,-10,20,12,21,10,13,0,0,6,295,.125
James Neal,PIT,80,40,41,81,6,87,108,15,18,12,0,0,4,329,.122
Henrik Sedin,VAN,82,14,67,81,23,52,32,17,8,19,0,0,6,113,.124
John Tavares,NYI,82,31,50,81,-6,26,27,23,7,18,0,0,8,286,.108
Patrik Elias,NJD,81,26,52,78,-8,16,61,26,8,21,2,2,3,164,.159
Marian Hossa,CHI,81,29,48,77,18,20,73,40,9,11,2,1,4,248,.117
Ray Whitney,DAL,82,24,53,77,26,28,28,10,8,12,0,0,1,185,.130
Joe Thornton,SAN,82,18,59,77,17,31,42,26,4,19,0,1,2,156,.115
Marian Gaborik,NYR,82,41,35,76,15,34,63,40,10,11,0,0,7,276,.149
Jordan Eberle,EDM,78,34,42,76,4,10,45,24,10,10,0,0,4,180,.189
Anze Kopitar,LOS,82,25,51,76,12,20,72,53,8,18,2,2,2,230,.109
Martin St. Louis,TAM,77,25,49,74,-3,16,17,39,4,12,0,0,3,185,.135
Jason Pominville,BUF,82,30,43,73,-7,12,30,52,8,18,2,1,5,235,.128
Loui Eriksson,DAL,82,26,45,71,18,12,20,40,5,7,2,1,3,187,.139
Eric Staal,CAR,82,24,46,70,-20,48,48,35,7,16,3,2,3,262,.092
Zach Parise,MIN,82,31,38,69,-5,32,65,39,7,7,3,4,3,293,.106
Patrick Sharp,CHI,74,33,36,69,28,38,80,18,7,10,1,0,8,282,.117
Matt Moulson,NYI,82,36,33,69,1,6,33,40,14,10,0,0,5,219,.164
Henrik Zetterberg,DET,82,22,47,69,14,47,45,26,3,11,0,2,4,267,.082
P.A. Parenteau,COL,80,18,49,67,-8,89,99,23,6,13,0,0,2,167,.108
Joffrey Lupul,TOR,66,25,42,67,1,48,110,25,8,13,0,0,3,191,.131
Jarome Iginla,CGY,82,32,35,67,-10,43,124,43,8,11,0,0,5,251,.127
Daniel Sedin,VAN,72,30,37,67,14,40,21,15,10,15,0,0,6,229,.131
Scott Hartnell,PHI,82,37,30,67,19,136,188,37,16,7,0,0,6,232,.159
Tyler Seguin,BOS,81,29,38,67,34,30,26,17,5,10,0,0,7,242,.120
Pavel Datsyuk,DET,70,19,48,67,21,14,76,31,4,19,0,0,5,164,.116
Valtteri Filppula,DET,81,23,43,66,18,14,42,23,3,8,1,0,1,144,.160
Patrick Kane,CHI,82,23,43,66,7,40,19,27,4,8,0,0,5,253,.091
Brad Richards,NYR,82,25,41,66,-1,22,51,49,7,17,0,0,9,229,.109
